,Close
0,8840.01
1,8892.23
2,8866.38
3,8882.05
4,8620.0
5,8508.0
6,8544.99
7,8519.98
8,8531.99
9,8587.01
10,8600.01
11,8400.0
12,8440.07
13,8322.04
14,8088.87
15,7892.61
16,8184.69
17,7890.01
18,7949.0
19,7960.0
20,8056.43
21,7892.0
22,7955.0
23,7770.01
24,7883.04
25,8030.01
26,7889.68
27,7945.0
28,7971.13
29,7883.67
30,7602.72
31,7485.01
32,7398.99
33,7436.58
34,7191.82
35,6884.4
36,6960.12
37,6932.51
38,6725.0
39,6788.3
40,6782.35
41,7021.6
42,6822.4
43,7066.26
44,7040.0
45,7038.5
46,6920.82
47,6950.0
48,6770.0
49,6673.01
50,6490.0
51,6960.0
52,6780.0
53,6960.65
54,6932.21
55,7075.42
56,7047.0
57,6969.99
58,7037.02
59,7181.01
60,7406.68
61,7322.6
62,7387.0
63,7463.18
64,7405.0
65,7291.99
66,7317.12
67,7062.19
68,6816.76
69,6894.08
70,6790.09
71,6819.0
72,6830.16
73,6671.05
74,6682.0
75,6765.0
76,6815.51
77,6808.51
78,6590.01
79,6615.0
80,6604.49
81,6599.96
82,6620.0
83,6831.8
84,6892.74
85,6868.5
86,7017.0
87,6997.99
88,6968.01
89,6972.99
90,6952.13
91,7080.0
92,6990.0
93,6957.3
94,7073.38
95,7124.2
96,7154.19
97,6748.47
98,6737.29
99,6675.0
100,6725.59
101,6736.07
102,6753.62
103,6755.73
104,6848.32
105,6842.39
106,6824.99
107,6850.01
108,6855.0
109,6924.0
110,6912.76
111,6893.97
112,6915.0
113,6930.01
114,6826.92
115,7709.99
116,7683.89
117,7857.79
118,7760.01
119,7807.99
120,8085.24
121,8079.95
122,8125.01
123,7874.96
124,8043.89
125,7967.0
126,8024.0
127,7964.96
128,7961.01
129,8066.11
130,8095.93
131,8125.89
132,8122.99
133,8360.01
134,8299.0
135,8310.0
136,8136.0
137,8056.8
138,8112.41
139,7956.9
140,8020.0
141,8001.99
142,7995.0
143,8021.01
144,8103.94
145,8108.6
146,8097.05
147,7887.01
148,7927.01
149,8074.7
150,8099.0
151,8080.0
152,8100.5
153,8151.54
154,8203.11
155,8181.99
156,8222.01
157,8229.0
158,8244.0
159,8257.55
160,8339.98
161,8341.99
162,8518.99
163,8490.0
164,8514.99
165,8799.01
166,8876.3
167,8975.0
168,8610.7
169,8805.0
170,8811.24
171,8834.99
172,8858.0
173,8875.1
174,8990.04
175,8942.58
176,8892.51
177,8795.0
178,8883.01
179,8917.94
180,8907.71
181,8905.91
182,8834.99
183,8931.3
184,9196.99
185,9225.0
186,9303.94
187,9343.02
188,9446.02
189,9660.55
190,9460.14
191,9412.01
192,9125.79
193,8820.01
194,9040.31
195,8780.85
196,8854.95
197,8742.08
198,8867.98
199,8833.0
200,9085.0
201,9244.73
202,9193.99
203,9249.99
204,9329.01
205,9264.01
206,8967.94
207,9009.8
208,9132.1
209,9294.83
210,9348.46
211,9302.24
212,9354.99
213,9376.01
214,9432.01
215,9255.0
216,9250.0
217,9250.79
218,9299.0
219,9397.02
220,9294.99
221,9175.77
222,9281.0
223,9289.2
224,9231.01
225,8927.27
226,8966.22
227,9028.72
228,8901.25
229,8974.46
230,9086.54
231,9010.0
232,9085.0
233,9136.53
234,9052.82
235,9110.24
236,9250.0
237,9206.66
238,9180.01
239,9179.0
240,9344.99
241,9608.99
242,9636.93
243,9612.99
244,9593.01
245,9691.38
246,9639.15
247,9650.0
248,9726.5
249,9815.83
250,9783.0
251,9850.0
252,9918.99
253,9811.16
254,9769.0
255,9845.01
256,9618.0
257,9532.99
258,9560.0
259,9525.01
260,9590.77
261,9304.71
262,9330.01
263,9287.22
264,9284.99
265,9369.99
266,9320.01
267,9446.78
268,9324.72
269,9304.5
270,9126.16
271,9210.79
272,9196.52
273,9077.62
274,9056.98
275,9174.87
276,9299.99
277,9266.5
278,9284.97
279,9301.49
280,9294.64
281,9338.31
282,9323.36
283,9080.85
284,9092.0
285,8920.11
286,8761.62
287,8713.69
288,8624.23
289,8658.39
290,8421.01
291,8375.58
292,8320.83
293,8526.25
294,8343.55
295,8449.99
296,8465.01
297,8445.11
298,8461.41
299,8560.04
300,8629.3
301,8621.94
302,8675.0
303,8405.01
304,8381.26
305,8418.22
306,8777.79
307,8749.99
308,8742.98
309,8705.15
310,8678.0
311,8776.17
312,8533.0
313,8524.15
314,8484.16
315,8216.15
316,8238.64
317,8366.44
318,8292.16
319,8266.48
320,8347.13
321,8376.85
322,8269.56
323,8285.29
324,8258.95
325,8206.15
326,7950.0
327,8048.01
328,8105.0
329,8123.99
330,8130.63
331,8210.92
332,8225.01
333,8234.96
334,8214.5
335,8349.9
336,8289.94
337,8259.12
338,8199.78
339,8265.31
340,8285.0
341,8310.0
342,8490.0
343,8560.03
344,8475.0
345,8498.77
346,8509.01
347,8477.9
348,8396.01
349,8412.56
350,8271.01
351,8295.85
352,8248.49
353,8199.12
354,8218.35
355,8085.0
356,7903.97
357,7920.34
358,7842.7
359,7914.0
360,7460.0
361,7620.97
362,7603.02
363,7687.07
364,7381.28
365,7480.27
366,7500.0
367,7520.91
368,7582.29
369,7625.0
370,7438.67
371,7492.27
372,7434.52
373,7430.01
374,7448.31
375,7427.68
376,7521.59
377,7536.0
378,7554.99
379,7455.34
380,7304.03
381,7294.91
382,7327.84
383,7332.7
384,7308.71
385,7334.99
386,7359.99
387,7210.71
388,7235.97
389,7265.0
390,7211.05
391,7100.0
392,7090.05
393,7096.6
394,7279.99
395,7410.04
396,7459.98
397,7417.59
398,7493.86
399,7456.32
400,7507.66
401,7327.79
402,7292.97
403,7358.01
404,7365.87
405,7559.98
406,7547.89
407,7555.51
408,7540.32
409,7469.98
410,7486.89
411,7577.87
412,7556.01
413,7441.34
414,7439.98
415,7526.66
416,7487.01
417,7658.96
418,7640.0
419,7621.02
420,7667.58
421,7640.74
422,7645.98
423,7714.33
424,7711.99
425,7724.05
426,7705.83
427,7722.2
428,7685.54
429,7601.51
430,7529.98
431,7496.35
432,7499.97
433,7500.0
434,7417.99
435,7434.21
436,7422.82
437,7556.17
438,7614.01
439,7615.01
440,7583.36
441,7608.38
442,7625.63
443,7530.16
444,7513.28
445,7674.1
446,7713.64
447,7679.49
448,7709.86
449,7698.55
450,7650.0
451,7679.4
452,7633.52
453,7636.27
454,7551.66
455,7654.92
456,7646.82
457,7628.47
458,7663.65
459,7638.42
460,7574.63
461,7579.66
462,7612.6
463,7321.98
464,7301.73
465,7243.74
466,7222.95
467,7084.04
468,6718.0
469,6734.63
470,6774.3
471,6787.5
472,6765.0
473,6739.99
474,6756.0
475,6859.99
476,6840.0
477,6842.68
478,6737.0
479,6739.61
480,6559.0
481,6549.99
482,6579.99
483,6406.01
484,6445.18
485,6336.74
486,6286.78
487,6399.0
488,6475.76
489,6499.77
490,6389.01
491,6659.99
492,6650.1
493,6578.49
494,6593.47
495,6576.12
496,6505.38
497,6558.28
498,6431.95
499,6442.64
500,6464.6
501,6499.99
502,6408.0
503,6511.78
504,6533.01
505,6521.0
506,6509.9
507,6512.57
508,6480.01
509,6503.51
510,6484.0
511,6430.92
512,6436.81
513,6431.0
514,6459.99
515,6721.95
516,6704.19
517,6689.01
518,6677.65
519,6721.44
520,6741.94
521,6721.99
522,6717.01
523,6622.82
524,6622.0
525,6626.87
526,6754.01
527,6747.0
528,6751.01
529,6763.49
530,6755.9
531,6732.99
532,6729.57
533,6704.04
534,6719.84
535,6668.99
536,6492.32
537,6348.67
538,6137.05
539,6191.0
540,6059.91
541,6110.01
542,6120.29
543,6150.75
544,6123.99
545,6141.38
546,6192.75
547,6046.68
548,5878.99
549,5900.0
550,5840.0
551,6155.26
552,6138.01
553,6163.48
554,6163.52
555,6148.97
556,6281.99
557,6260.0
558,6244.77
559,6239.47
560,6213.95
561,6214.75
562,6168.49
563,6187.01
