,Close
0,300.0
1,370.0
2,370.0
3,370.0
4,370.0
5,370.0
6,377.0
7,377.0
8,378.0
9,378.0
10,378.0
11,378.0
12,378.0
13,378.0
14,378.0
15,378.0
16,377.01
17,360.0
18,304.49
19,289.25
20,289.25
21,289.25
22,260.0
23,260.0
24,260.0
25,260.0
26,260.0
27,200.0
28,219.63
29,113.06
30,126.72
31,185.91
32,120.0
33,120.0
34,150.0
35,150.0
36,150.0
37,150.0
38,224.0
39,209.18
40,189.0
41,189.0
42,189.0
43,189.0
44,203.05
45,199.46
46,210.0
47,210.0
48,210.0
49,210.0
50,210.0
51,225.51
52,225.51
53,225.51
54,225.51
55,225.51
56,225.51
57,225.51
58,225.51
59,225.51
60,208.0
61,218.0
62,224.0
63,224.0
64,224.0
65,224.0
66,224.0
67,225.51
68,246.62
69,226.32
70,226.32
71,226.32
72,226.32
73,226.32
74,226.32
75,226.32
76,226.32
77,226.32
78,235.0
79,215.0
80,216.0
81,216.0
82,216.0
83,216.0
84,250.58
85,240.0
86,250.91
87,250.49
88,245.82
89,249.01
90,249.8
91,263.82
92,283.28
93,300.0
94,302.21
95,276.0
96,268.0
97,258.79
98,259.35
99,258.5
100,260.0
101,265.5
102,260.3
103,265.18
104,258.0
105,261.29
106,253.99
107,253.53
108,234.08
109,235.1
110,232.85
111,230.7
112,224.9
113,230.01
114,233.38
115,236.12
116,242.78
117,234.79
118,234.24
119,229.2
120,229.81
121,229.0
122,228.2
123,234.38
124,232.0
125,230.3
126,225.97
127,219.0
128,218.53
129,213.0
130,213.94
131,222.93
132,230.5
133,228.69
134,223.21
135,225.02
136,227.08
137,226.06
138,227.24
139,238.63
140,238.09
141,240.62
142,241.66
143,233.26
144,229.39
145,229.22
146,226.71
147,224.96
148,224.11
149,224.89
150,226.29
151,228.0
152,224.2
153,225.11
154,224.62
155,217.87
156,217.47
157,220.06
158,219.34
159,218.38
160,222.68
161,224.51
162,222.74
163,225.3
164,224.49
165,229.47
166,225.11
167,228.02
168,228.7
169,228.45
170,225.81
171,229.0
172,221.43
173,223.56
174,224.05
175,225.0
176,223.54
177,221.15
178,220.14
179,219.89
180,221.48
181,221.13
182,216.8
183,216.57
184,218.26
185,220.46
186,221.08
187,222.9
188,221.1
189,222.0
190,221.74
191,218.7
192,218.94
193,219.11
194,218.38
195,219.74
196,220.99
197,222.37
198,223.0
199,224.18
200,231.28
201,235.87
202,239.0
203,238.0
204,238.75
205,240.98
206,249.08
207,244.24
208,247.87
209,256.14
210,257.95
211,257.69
212,260.04
213,253.07
214,243.6
215,234.04
216,233.4
217,231.54
218,236.81
219,232.32
220,236.58
221,238.69
222,234.55
223,235.94
224,238.78
225,239.89
226,246.0
227,241.3
228,244.8
229,244.97
230,241.39
231,242.25
232,238.3
233,234.24
234,237.36
235,237.79
236,237.06
237,237.84
238,241.59
239,241.66
240,240.47
241,244.55
242,246.67
243,245.15
244,242.96
245,245.12
246,245.71
247,246.5
248,245.0
249,245.0
250,244.75
251,245.48
252,246.6
253,246.55
254,246.04
255,238.0
256,237.0
257,236.25
258,237.9
259,237.83
260,235.97
261,236.44
262,238.06
263,240.96
264,240.03
265,238.73
266,237.71
267,238.96
268,239.59
269,239.88
270,240.1
271,238.46
272,237.1
273,238.45
274,238.76
275,238.38
276,234.55
277,236.87
278,237.22
279,237.4
280,237.8
281,237.1
282,237.86
283,253.04
284,251.6
285,253.96
286,257.63
287,254.99
288,252.17
289,252.52
290,253.31
291,253.62
292,253.85
293,255.83
294,254.64
295,254.73
296,254.33
297,248.89
298,248.31
299,260.7
300,262.13
301,261.93
302,260.7
303,265.0
304,271.75
305,277.0
306,276.0
307,276.1
308,269.22
309,268.75
310,284.14
311,283.39
312,278.2
313,278.92
314,278.94
315,283.64
316,279.68
317,274.24
318,271.13
319,271.3
320,267.54
321,264.08
322,269.32
323,277.76
324,275.72
325,271.99
326,271.02
327,272.86
328,273.62
329,273.9
330,273.0
331,272.19
332,272.74
333,274.55
334,277.7
335,276.88
336,277.77
337,276.3
338,273.55
339,274.13
340,276.61
341,275.48
342,279.29
343,280.74
344,280.8
345,286.65
346,290.79
347,293.01
348,296.8
349,293.89
350,293.29
351,297.12
352,294.27
353,293.6
354,292.9
355,295.13
356,293.73
357,297.39
358,296.81
359,294.63
360,294.36
361,294.45
362,294.87
363,297.5
364,295.74
365,294.89
366,291.4
367,290.66
368,292.21
369,290.46
370,289.14
371,282.18
372,284.22
373,283.65
374,285.86
375,285.42
376,285.05
377,285.45
378,285.9
379,285.13
380,287.44
381,286.4
382,287.63
383,293.65
384,292.83
385,293.55
386,294.25
387,292.23
388,292.37
389,292.04
390,292.36
391,292.11
392,288.75
393,288.69
394,285.98
395,284.6
396,285.73
397,272.79
398,277.17
399,267.83
400,258.51
401,254.81
402,261.65
403,259.35
404,264.5
405,258.19
406,262.57
407,267.11
408,263.3
409,261.77
410,264.51
411,263.76
412,262.85
413,261.62
414,258.46
415,261.63
416,263.07
417,261.78
418,261.73
419,261.17
420,260.32
421,261.28
422,261.96
423,269.02
424,270.34
425,269.68
426,269.95
427,269.43
428,267.9
429,266.36
430,268.18
431,267.53
432,265.67
433,257.62
434,247.42
435,250.8
436,247.11
437,247.79
438,237.81
439,246.66
440,247.29
441,244.19
442,246.85
443,246.14
444,251.36
445,253.2
446,251.52
447,250.04
448,250.86
449,248.65
450,248.46
451,248.02
452,248.87
453,249.98
454,249.14
455,252.99
456,254.41
457,252.67
458,252.81
459,253.3
460,253.17
461,248.65
462,242.25
463,245.43
464,245.98
465,242.36
466,239.38
467,247.31
468,246.45
469,244.66
470,247.54
471,248.27
472,249.19
473,248.63
474,246.99
475,244.87
476,244.97
477,246.62
478,245.74
479,245.12
480,242.22
481,244.48
482,243.05
483,246.71
484,249.55
485,246.45
486,246.75
487,248.42
488,252.11
489,252.62
490,253.92
491,253.04
492,256.79
493,255.19
494,254.86
495,255.32
496,255.48
497,254.05
498,253.16
499,253.19
500,253.75
501,254.81
502,252.51
503,252.53
504,254.54
505,258.0
506,257.98
507,261.2
508,262.75
509,258.62
510,258.73
511,259.76
512,256.47
513,258.15
514,254.31
515,255.66
516,255.0
517,256.52
518,255.8
519,255.01
520,255.12
521,254.81
522,245.39
523,248.08
524,246.48
525,246.43
526,246.18
527,243.8
528,242.31
529,245.49
530,245.62
531,244.65
532,242.34
533,241.31
534,238.95
535,234.55
536,236.58
537,236.71
538,236.49
539,236.01
540,234.98
541,238.16
542,237.05
543,237.6
544,238.46
545,237.09
546,236.67
547,238.03
548,237.08
549,237.81
550,237.18
551,236.62
552,235.44
553,235.16
554,225.6
555,226.14
556,223.92
557,222.7
558,222.42
559,221.6
560,219.91
561,221.62
562,222.95
563,222.71
564,222.69
565,221.6
566,220.86
567,226.08
568,226.64
569,227.03
570,227.29
571,230.2
572,229.86
573,229.69
574,228.1
575,223.47
576,223.67
577,222.82
578,223.49
579,223.69
580,223.9
581,223.28
582,222.28
583,223.4
584,224.04
585,224.04
586,224.28
587,224.97
588,225.35
589,225.97
590,223.64
591,223.87
592,223.94
593,225.24
594,226.14
595,225.49
596,224.7
597,226.72
598,226.54
599,225.49
600,225.48
601,225.21
602,234.0
603,234.97
604,234.93
605,236.62
606,236.39
607,238.25
608,234.75
609,234.65
610,234.07
611,235.39
612,235.4
613,234.25
614,235.3
615,233.16
616,230.42
617,231.35
618,232.21
619,231.85
620,232.19
621,232.56
622,230.43
623,229.06
624,229.14
625,229.82
626,227.34
627,220.8
628,219.88
629,219.87
630,217.58
631,219.94
632,220.59
633,221.31
634,221.88
635,220.02
636,224.01
637,222.37
638,226.94
639,228.77
640,225.8
641,224.99
642,224.24
643,224.71
644,225.75
645,226.28
646,223.79
647,224.38
648,225.1
649,226.66
650,225.63
651,225.49
652,228.1
653,232.69
654,233.25
655,236.77
656,236.81
657,237.62
658,236.97
659,234.65
660,236.0
661,235.4
662,233.24
663,235.1
664,233.83
665,235.15
666,236.34
667,236.65
668,235.06
669,237.51
670,239.96
671,242.41
672,241.34
673,241.85
674,240.67
675,241.72
676,240.73
677,242.35
678,240.73
679,239.55
680,239.76
681,236.47
682,233.94
683,235.21
684,235.41
685,236.24
686,236.88
687,234.75
688,235.69
