Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted Price,BB24hr_mean,BB24hr_upper,BB24hr_lower,BB120hr_mean,BB120hr_upper,BB120hr_lower
-1.4100757135418853,-1.4108593603944093,-1.4180912382816657,-1.4172027152300166,-0.8298014791336531,-0.9498543876757221,-1.4137781348069154,-1.4589974895332054,-1.3840010570178718,-1.533993922048539,-1.342106842923586,-1.0839791621482764,-1.6002345236988957
-1.4171652787255973,-1.4028645745324786,-1.4226977177079607,-1.400016828549018,-0.5497753348202631,-0.8405768194201938,-1.408348586187711,-1.45804214648944,-1.3805850508199653,-1.5354992421589146,-1.342859404744725,-1.0845861780808566,-1.6011326314085936
-1.3994302932637996,-1.3566289305205492,-1.405196398023829,-1.3592822568394776,0.7039695105948983,-0.3378903694014535,-1.3811786168692726,-1.4553556316315888,-1.368976640552135,-1.5417346227110424,-1.3435130952217238,-1.0854760660815912,-1.6015501243618564
-1.3579906616968915,-1.3575475194744286,-1.365884471450321,-1.3532676713368255,-0.22352629603867932,-0.6966461147158508,-1.3583014836520995,-1.4499479125302022,-1.3549828231402743,-1.54491300192013,-1.344151485437356,-1.086402698969959,-1.601900271904753
-1.3549125059968687,-1.3178246711455042,-1.3531118102166944,-1.3186711424113073,0.6865446271272044,-0.312128258892776,-1.3298106416871176,-1.4422682365147104,-1.3360600816141202,-1.5484763914153006,-1.3446281677182024,-1.0872849132907705,-1.6019714221456343
-1.3164403051048028,-1.3110791662608496,-1.3305681291820586,-1.3096682575852325,-0.5773453369904742,-0.8301244150336886,-1.3213392757713067,-1.4355448268346185,-1.3172000112147637,-1.5538896424544733,-1.3449881459364883,-1.087965228176097,-1.6020110636968796
-1.308379523271649,-1.3045724945042039,-1.3289864061389078,-1.3235113009552837,-0.2138226184189455,-0.676642253965845,-1.3130615955079936,-1.4272983816545457,-1.3063776793528596,-1.5482190839562318,-1.3454999132994334,-1.088898501548101,-1.6021013250507659
-1.3219069577765805,-1.3209448116255145,-1.3389885754451787,-1.3247775294821578,-0.12319476412347581,-0.6458822297929855,-1.3312966234144785,-1.4189424604664203,-1.2985791786241938,-1.5393057423086467,-1.3464829287124631,-1.091123725022921,-1.6018421324020051
-1.3245010869379568,-1.326036856393186,-1.336119019444139,-1.3232453929646402,-0.6555285658521994,-0.8644141861758465,-1.3301027577531799,-1.4113891435060062,-1.2906908973363693,-1.532087389675643,-1.3475222385354173,-1.0935807133218605,-1.6014637637489741
-1.3224099657481156,-1.3250937717338698,-1.372498649436607,-1.370124338600837,0.4259579428593024,-0.43386854273125053,-1.3559804309967551,-1.4068367881542843,-1.2886262771628414,-1.5250472991457271,-1.3490423722616904,-1.0967813074938353,-1.6013034370295456
-1.3688733498860788,-1.3239914649892144,-1.3723797725481865,-1.3215264877394084,0.012925600303218538,-0.5969001956039447,-1.3476360720661889,-1.4017394269407868,-1.2797043504359598,-1.5237745034456138,-1.3499227440247608,-1.0988013710879343,-1.6010441169615872
