,bitcoin
528,383.645
529,381.085
530,392.849
531,383.055
532,384.58
533,386.883
534,372.734
535,359.324
536,353.778
537,353.119
538,352.45
539,357.405
540,357.237
541,339.989
542,345.474
543,329.199
544,324.968
545,330.595
546,326.202
547,336.67
548,340.384
549,347.635
550,343.492
551,349.135
552,359.944
553,367.833
554,378.629
555,438.286
556,384.976
557,395.159
558,386.854
559,409.747
560,383.823
561,383.492
562,364.929
563,353.103
564,358.654
565,357.059
566,374.572
567,393.176
568,369.096
569,372.335
570,363.23
571,378.912
572,381.015
573,379.968
574,380.975
575,376.298
576,375.683
577,372.943
578,374.454
579,374.862
580,366.659
581,350.734
582,350.037
583,356.597
584,346.567
585,351.142
586,345.42
587,333.954
588,321.417
589,311.418
590,316.632
591,328.891
592,322.022
593,333.14
594,334.25
595,318.075
596,317.811
597,324.885
598,316.561
599,319.854
600,314.022
601,310.6
602,317.848
603,313.639
604,314.87
605,281.246
606,266.723
607,274.168
608,283.238
609,293.754
610,282.507
611,277.861
612,274.705
613,267.988
614,244.566
615,207.809
616,204.946
617,218.091
618,197.244
619,210.52
620,208.277
621,209.398
622,213.693
623,230.925
624,226.646
625,232.926
626,246.348
627,299.413
628,258.223
629,262.191
630,230.433
631,232.815
632,232.025
633,212.725
634,224.714
635,239.545
636,223.529
637,225.924
638,218.892
639,228.917
640,227.457
641,222.527
642,216.425
643,220.585
644,219.139
645,234.847
646,247.851
647,262.742
648,237.533
649,237.71
650,241.633
651,236.829
652,246.175
653,243.83
654,245.211
655,234.566
656,236.6
657,235.821
658,236.16
659,251.802
660,252.86
661,246.098
662,258.834
663,270.295
664,282.029
665,267.155
666,271.081
667,276.149
668,274.759
669,286.625
670,295.158
671,296.145
672,296.532
673,287.691
674,282.985
675,284.199
676,291.018
677,287.963
678,266.851
679,259.816
680,260.658
681,260.475
682,262.736
683,263.101
684,246.765
685,245.087
686,253.246
687,248.411
688,251.687
689,244.8
690,247.838
691,245.58
692,247.918
693,253.183
694,255.069
695,253.204
696,261.58
697,252.688
698,253.043
699,244.848
700,242.767
701,236.266
702,237.318
703,235.823
704,224.205
705,222.072
706,225.966
707,228.548
708,223.356
709,223.678
710,223.602
711,225.39
712,234.599
713,233.853
714,231.789
715,229.881
716,218.727
717,220.454
718,224.947
719,224.665
720,234.167
721,235.142
722,234.814
723,241.893
724,241.945
725,234.923
726,234.966
727,232.015
728,245.906
729,241.203
730,240.507
731,243.663
732,242.089
733,242.873
734,236.418
735,237.498
736,237.384
737,237.378
738,236.758
739,233.332
740,234.654
741,236.186
742,236.846
743,240.201
744,241.613
745,237.313
746,237.484
747,236.773
748,237.406
749,237.094
750,232.603
751,231.895
752,222.597
753,225.695
754,226.092
755,224.567
756,225.226
757,225.026
758,223.469
759,228.462
760,229.277
761,228.785
762,229.669
763,230.259
764,232.483
765,233.493
766,236.594
767,252.393
768,248.938
769,249.827
770,243.995
771,244.765
772,243.891
773,246.698
774,244.157
775,240.823
776,242.676
777,243.489
778,250.655
779,248.758
780,256.939
781,264.057
782,259.09
783,255.811
784,256.656
785,260.837
786,270.949
787,269.478
788,266.341
789,267.704
790,269.191
791,286.052
792,293.114
793,309.859
794,291.531
795,290.508
796,291.183
797,278.093
798,279.505
799,274.517
800,273.602
801,279.366
802,276.139
803,277.419
804,275.741
805,287.267
806,288.697
807,292.164
808,294.907
809,293.802
810,288.471
811,287.823
812,284.676
813,279.73
814,282.168
815,282.135
816,284.734
817,281.459
818,278.809
819,279.598
820,261.801
821,265.991
822,264.522
823,268.243
824,265.805
825,263.99
826,266.174
827,261.6
828,258.241
829,257.909
830,231.601
831,229.296
832,233.494
833,233.695
834,230.173
835,226.995
836,203.863
837,224.639
838,227.369
839,221.515
840,232.353
841,230.462
842,227.657
843,230.863
844,226.675
845,229.589
846,227.93
847,229.577
848,236.142
849,241.162
850,241.852
851,243.645
852,238.504
853,239.653
854,239.852
855,235.224
856,227.961
857,231.71
858,230.9
859,230.049
860,232.424
861,231.004
862,227.719
863,231.566
864,230.202
865,231.139
866,236.82
867,233.933
868,233.241
869,237.11
870,236.259
871,236.202
872,236.038
873,237.17
874,237.731
875,238.467
876,237.909
877,240.799
878,244.574
879,243.066
880,243.479
881,243.426
882,244.646
883,246.632
884,250.079
885,250.13
886,254.377
887,259.286
888,269.651
889,265.33
890,263.062
891,265.758
892,264.688
893,274.63
894,274.985
895,277.908
896,288.511
897,283.626
898,292.501
899,301.821
900,312.264
901,319.693
902,324.769
903,317.023
904,334.018
905,392.089
906,486.534
907,393.216
908,375.493
909,388.144
910,385.583
911,384.491
912,358.042
913,312.185
914,329.99
915,330.588
916,332.634
917,320.758
918,320.706
919,334.246
920,333.518
921,326.287
922,321.711
923,325.69
924,322.651
925,323.655
926,321.585
927,325.344
928,346.825
929,359.416
930,355.642
931,364.834
932,377.034
933,361.484
934,359.777
935,360.712
936,361.606
937,378.439
938,395.493
939,394.615
940,395.698
941,414.863
942,416.948
943,449.438
944,425.814
945,435.797
946,443.909
947,461.439
948,457.011
949,455.067
950,462.867
951,462.06
952,441.045
953,436.033
954,439.136
955,442.987
956,454.293
957,456.03
958,419.127
959,423.26
960,419.759
961,430.244
962,427.452
963,430.84
964,434.221
965,433.444
966,427.509
967,433.746
968,432.198
969,430.805
970,454.248
971,453.716
972,449.557
973,445.916
974,448.21
975,445.932
976,432.285
977,430.633
978,375.468
979,382.775
980,387.313
981,387.038
982,382.212
983,417.34
984,410.273
985,378.538
986,389.1
987,403.934
988,392.511
989,391.598
990,395.106
991,380.316
992,379.89
993,378.179
994,368.661
995,372.942
996,374.445
997,369.989
998,389.588
999,386.362
1000,377.141
1001,377.151
1002,373.454
1003,376.203
1004,382.02
1005,379.999
1006,385.471
1007,394.577
1008,410.381
1009,402.707
1010,407.977
1011,416.817
1012,422.59
1013,422.163
1014,438.633
1015,437.112
1016,438.692
1017,423.6
1018,427.719
1019,423.06
1020,434.231
1021,432.212
1022,432.373
1023,438.973
1024,435.1
1025,420.773
1026,422.763
1027,409.248
1028,396.187
1029,407.058
1030,414.271
1031,411.899
1032,413.955
1033,417.27
1034,421.658
1035,412.75
1036,414.493
1037,416.66
1038,416.812
1039,418.595
1040,419.627
1041,409.134
1042,412.655
1043,412.154
1044,415.598
1045,419.152
1046,417.746
1047,416.832
1048,418.258
1049,418.019
1050,425.553
1051,425.678
1052,416.228
1053,416.803
1054,417.408
1055,421.005
1056,420.978
1057,421.726
1058,423.233
1059,424.194
1060,422.153
1061,423.811
1062,418.291
1063,419.538
1064,422.009
1065,426.941
1066,426.294
1067,424.552
1068,425.977
1069,429.539
1070,430.382
1071,428.734
1072,428.271
1073,435.579
1074,443.29
1075,445.702
1076,444.884
1077,453.824
1078,457.701
1079,462.843
1080,465.379
1081,441.663
1082,446.808
1083,454.497
1084,449.215
1085,452.29
1086,444.151
1087,449.276
1088,447.289
1089,447.27
1090,458.293
1091,459.16
1092,456.969
1093,460.31
1094,453.406
1095,451.927
1096,454.32
1097,455.342
1098,455.797
1099,457.085
1100,454.774
1101,454.584
1102,454.0
1103,442.334
1104,442.061
1105,442.557
1106,441.976
1107,445.427
1108,448.378
1109,450.022
1110,474.069
1111,498.676
1112,521.849
1113,535.539
1114,544.418
1115,532.141
1116,535.844
1117,549.816
1118,580.809
1119,577.988
1120,585.142
1121,584.665
1122,576.673
1123,578.783
1124,577.185
1125,583.377
1126,628.133
1127,692.598
1128,693.612
1129,677.808
1130,733.566
1131,738.893
1132,754.455
1133,753.637
1134,763.99
1135,713.075
1136,672.253
1137,593.038
1138,651.165
1139,680.49
1140,656.33
1141,644.602
1142,649.736
1143,637.476
1144,639.628
1145,675.849
1146,678.151
1147,671.149
1148,673.016
1149,675.281
1150,675.219
1151,645.744
1152,643.358
1153,653.698
1154,647.317
1155,646.921
1156,648.473
1157,667.684
1158,656.24
1159,664.502
1160,664.65
1161,666.034
1162,679.776
1163,671.247
1164,670.628
1165,663.551
1166,664.809
1167,652.987
1168,654.691
1169,655.454
1170,648.27
1171,653.678
1172,655.233
1173,655.515
1174,655.985
1175,638.209
1176,622.498
1177,603.212
1178,553.726
1179,573.437
1180,571.827
1181,570.135
1182,589.672
1183,589.44
1184,587.231
1185,588.482
1186,592.589
1187,589.7
1188,588.941
1189,583.588
1190,573.089
1191,569.174
1192,580.452
1193,574.18
1194,574.948
1195,579.787
1196,583.081
1197,580.799
1198,583.06
1199,582.594
1200,575.628
1201,579.669
1202,576.007
1203,572.82
1204,575.008
1205,578.19
1206,574.893
1207,572.41
1208,571.819
1209,574.777
1210,601.474
1211,605.05
1212,606.715
1213,608.994
1214,626.582
1215,622.512
1216,623.676
1217,623.052
1218,605.681
1219,607.68
1220,610.202
1221,610.234
1222,608.061
1223,607.679
1224,607.309
1225,609.207
1226,609.101
1227,598.608
1228,597.254
1229,599.086
1230,603.552
1231,602.966
1232,606.089
1233,607.068
1234,605.721
1235,606.008
1236,605.636
1237,612.568
1238,612.979
1239,612.126
1240,610.381
1241,610.485
1242,612.013
1243,615.719
1244,618.876
1245,617.449
1246,618.237
1247,634.187
1248,640.19
1249,637.365
1250,639.156
1251,641.932
1252,642.358
1253,639.619
1254,639.741
1255,638.151
1256,631.386
1257,632.257
1258,637.624
1259,657.199
1260,652.827
1261,656.597
1262,664.004
1263,687.116
1264,687.331
1265,703.977
1266,711.374
1267,701.334
1268,726.507
1269,725.873
1270,736.802
1271,706.089
1272,704.692
1273,712.394
1274,702.993
1275,704.233
1276,734.757
1277,718.026
1278,716.853
1279,707.696
1280,695.098
1281,702.443
1282,709.822
1283,714.779
1284,741.735
1285,751.231
1286,748.749
1287,752.467
1288,734.128
1289,740.754
1290,743.086
1291,740.662
1292,738.105
1293,734.906
1294,736.83
1295,736.835
1296,736.4
1297,747.153
1298,753.49
1299,773.419
1300,768.924
1301,770.395
1302,751.713
1303,764.395
1304,766.544
1305,772.765
1306,773.192
1307,775.156
1308,768.598
1309,780.12
1310,781.452
1311,781.489
1312,779.555
1313,783.972
1314,790.224
1315,790.903
1316,791.731
1317,793.315
1318,809.513
1319,860.126
1320,913.311
1321,891.23
1322,868.522
1323,897.475
1324,930.351
1325,960.528
1326,973.423
1327,949.298
1328,952.229
1329,972.948
1330,1025.88
1331,1030.47
1332,1100.52
1333,1032.94
1334,892.194
1335,892.342
1336,911.99
1337,907.185
1338,908.901
1339,818.048
1340,767.149
1341,796.407
1342,833.934
1343,821.69
1344,826.108
1345,886.754
1346,899.644
1347,891.014
1348,891.942
1349,926.034
1350,909.04
1351,923.955
1352,907.879
1353,900.2
1354,907.819
1355,920.339
1356,922.994
1357,922.58
1358,921.309
1359,953.959
1360,972.586
1361,996.304
1362,1019.55
1363,1025.47
1364,1027.57
1365,1040.23
1366,1059.9
1367,1052.24
1368,983.114
1369,965.105
1370,1003.48
1371,1000.53
1372,992.643
1373,1001.77
1374,1005.66
1375,1019.38
1376,1041.4
1377,1056.68
1378,1045.16
1379,1057.53
1380,1102.94
1381,1112.62
1382,1143.14
1383,1177.52
1384,1163.87
1385,1157.63
1386,1166.51
1387,1177.76
1388,1205.33
1389,1228.26
1390,1267.16
1391,1269.28
1392,1255.06
1393,1270.9
1394,1226.8
1395,1202.83
1396,1172.99
1397,1241.08
1398,1190.7
1399,1181.17
1400,1231.63
1401,1236.09
1402,1249.55
1403,1222.28
1404,1160.68
1405,1066.49
1406,1002.16
1407,1058.41
1408,1094.32
1409,1041.39
1410,1056.17
1411,981.718
1412,950.005
1413,993.619
1414,1030.0
1415,1061.93
1416,1043.88
1417,1020.99
1418,1041.06
1419,1083.77
1420,1084.98
1421,1129.9
1422,1133.37
1423,1122.91
1424,1153.1
1425,1174.68
1426,1184.6
1427,1178.15
1428,1188.0
1429,1196.61
1430,1200.97
1431,1180.18
1432,1167.97
1433,1186.37
1434,1176.36
1435,1173.51
1436,1212.91
1437,1208.33
1438,1218.04
1439,1222.57
1440,1208.47
1441,1219.07
1442,1223.75
1443,1257.93
1444,1278.81
1445,1302.71
1446,1311.04
1447,1317.22
1448,1318.21
1449,1383.51
1450,1466.76
1451,1460.46
1452,1555.51
1453,1606.17
1454,1565.56
1455,1563.12
1456,1658.2
1457,1793.44
1458,1762.21
1459,1846.69
1460,1784.71
1461,1764.14
1462,1811.7
1463,1753.39
1464,1746.73
1465,1819.29
1466,1826.55
1467,1965.5
1468,1994.03
1469,2075.14
1470,2242.91
1471,2263.82
1472,2431.33
1473,2730.61
1474,2352.89
1475,2012.35
1476,2191.33
1477,2183.63
1478,2252.71
1479,2202.45
1480,2426.31
1481,2400.16
1482,2524.54
1483,2527.34
1484,2574.47
1485,2846.14
1486,2827.87
1487,2728.54
1488,2864.85
1489,2875.41
1490,2910.44
1491,2759.19
1492,2718.07
1493,2635.36
1494,2261.25
1495,2481.74
1496,2591.41
1497,2568.92
1498,2578.25
1499,2657.32
1500,2709.33
1501,2714.58
1502,2760.61
1503,2688.44
1504,2627.95
1505,2476.72
1506,2539.78
1507,2536.94
1508,2547.95
1509,2507.89
1510,2445.84
1511,2519.06
1512,2618.16
1513,2562.64
1514,2592.87
1515,2549.5
1516,2521.61
1517,2589.88
