,Timestamp,BTC-USD-Daily
197,1384251362000.0,361.3
198,1384337762000.0,374.95
199,1384424762000.0,408.52
200,1384511162000.0,427.99
201,1384597862000.0,441.28
202,1384684562000.0,468.66
203,1384770962000.0,558.49
204,1384857363000.0,674.71
205,1384943762000.0,482.59
206,1385030762000.0,620.39
207,1385117462000.0,731.15
208,1385243162000.0,808.91
209,1385329561000.0,776.96
210,1385419862000.0,791.59
211,1385506262000.0,909.0
212,1385592363000.0,983.78
213,1385678761000.0,1031.2
214,1385775961000.0,1149.14
215,1385862661000.0,1122.87
216,1385949061000.0,997.84
217,1386035761000.0,1030.64
218,1386123062000.0,1077.12
219,1386210362000.0,1127.12
220,1386298561000.0,1002.91
221,1386386162000.0,765.32
222,1386474061000.0,694.46
223,1386560462000.0,837.82
224,1386647462000.0,921.78
225,1386735361000.0,957.82
226,1386821761000.0,852.89
227,1386909061000.0,906.15
228,1386995462000.0,892.83
229,1387083361000.0,850.15
230,1387170361000.0,868.93
231,1387257062000.0,669.11
232,1387343762000.0,644.05
233,1387430461000.0,560.15
234,1387517461000.0,711.94
235,1387604461000.0,638.3
236,1387690862000.0,609.69
237,1387777561000.0,645.14
238,1387863961000.0,671.42
239,1387950361000.0,654.72
240,1388036762000.0,693.91
241,1388123761000.0,736.34
242,1388210161000.0,729.8
243,1388296862000.0,719.49
244,1388385962000.0,752.77
245,1388474161000.0,747.72
246,1388560561000.0,769.08
247,1388646962000.0,771.15
248,1388733362000.0,802.1
249,1388819762000.0,809.9
250,1388906161000.0,864.09
251,1388992562000.0,975.83
252,1389097561000.0,919.1
253,1389183962000.0,857.55
254,1389270361000.0,840.98
255,1389356761000.0,836.11
256,1389443161000.0,908.02
257,1389529561000.0,863.47
258,1389615962000.0,835.11
259,1389702362000.0,836.54
260,1389788762000.0,863.15
261,1389879062000.0,853.01
262,1389966062000.0,824.34
263,1390052462000.0,838.31
264,1390140662000.0,833.7
265,1390227062000.0,865.46
266,1390313762000.0,867.22
267,1390411262000.0,846.28
268,1390498262000.0,828.5
269,1390584662000.0,802.45
270,1390671062000.0,850.35
271,1390757462000.0,890.5
272,1390854662000.0,803.34
273,1390941362000.0,813.91
274,1391028662000.0,825.36
275,1391115062000.0,819.49
276,1391201462000.0,823.08
277,1391287862000.0,842.05
278,1391374262000.0,829.58
279,1391460962000.0,819.19
280,1391549462000.0,831.17
281,1391636162000.0,821.49
282,1391722563000.0,783.21
283,1391808965000.0,725.92
284,1391895365000.0,687.32
285,1391982062000.0,692.4
286,1392068762000.0,668.35
287,1392156073000.0,638.18
288,1392260762000.0,654.09
289,1392347167000.0,563.37
290,1392433873000.0,644.56
291,1392520270000.0,658.47
292,1392607282000.0,616.22
293,1392693705000.0,641.65
294,1392780362000.0,625.32
295,1392867062000.0,625.23
296,1392954082000.0,549.26
297,1393040762000.0,567.5
298,1393127162000.0,613.72
299,1393213562000.0,578.54
300,1393299962000.0,497.98
301,1393389369000.0,563.52
302,1393476662000.0,581.48
303,1393563362000.0,571.31
304,1393650362000.0,558.21
305,1393736765000.0,561.03
306,1393823162000.0,573.53
307,1393913183000.0,662.1
308,1394006761000.0,663.72
309,1394095261000.0,662.5
310,1394182283000.0,655.21
311,1394268962000.0,621.94
312,1394355362000.0,622.39
313,1394441781000.0,639.21
314,1394528162000.0,630.67
315,1394614562000.0,635.66
316,1394700962000.0,639.84
317,1394789462000.0,633.27
318,1394875862000.0,631.85
319,1394962262000.0,634.47
320,1395048662000.0,622.31
321,1395135062000.0,616.987
322,1395222077000.0,616.973
323,1395308462000.0,603.703
324,1395394562000.0,600.589
325,1395480963000.0,565.677
326,1395567362000.0,567.012
327,1395654362000.0,556.214
328,1395740763000.0,573.041
329,1395837962000.0,584.442
330,1395944761000.0,522.284
331,1396039262000.0,491.286
332,1396145462000.0,485.565
333,1396233962000.0,476.496
334,1396320362000.0,458.605
335,1396408562000.0,481.448
336,1396496463000.0,427.184
337,1396583162000.0,436.883
338,1396669562000.0,452.016
339,1396755962000.0,464.402
340,1396842362000.0,455.561
341,1396928762000.0,453.189
342,1397016663000.0,454.672
343,1397103362000.0,427.748
344,1397189763000.0,381.885
345,1397276163000.0,438.115
346,1397362562000.0,424.927
347,1397448962000.0,409.46
348,1397535962000.0,455.373
349,1397623562000.0,515.641
350,1397710262000.0,519.52
351,1397797262000.0,493.836
352,1397883662000.0,471.864
353,1397970062000.0,504.638
354,1398056463000.0,507.807
355,1398143162000.0,498.687
356,1398229562000.0,490.975
357,1398318062000.0,488.405
358,1398407464000.0,456.307
359,1398494762000.0,451.657
360,1398582662000.0,455.845
361,1398670562000.0,425.696
362,1398773762000.0,447.438
363,1398871562000.0,446.294
364,1398957963000.0,450.762
365,1399044362000.0,445.525
366,1399130765000.0,440.957
367,1399217165000.0,433.529
368,1399303566000.0,429.981
369,1399392065000.0,430.926
370,1399478467000.0,440.211
371,1399564880000.0,441.514
372,1399653676000.0,450.369
373,1399740066000.0,451.272
374,1399826467000.0,433.401
375,1399912870000.0,441.282
376,1399999273000.0,439.853
377,1400086276000.0,444.368
378,1400172667000.0,448.209
379,1400259070000.0,448.52
380,1400345466000.0,447.912
381,1400431868000.0,447.122
382,1400518277000.0,445.06
383,1400604675000.0,483.302
384,1400691977000.0,492.126
385,1400778380000.0,516.295
386,1400864769000.0,523.193
387,1400997366000.0,555.32
388,1401083770000.0,586.827
389,1401172873000.0,584.793
390,1401259265000.0,575.617
391,1401345676000.0,566.67
392,1401432967000.0,569.327
393,1401519367000.0,617.077
394,1401605773000.0,648.41
395,1401692166000.0,623.169
396,1401778567000.0,657.145
397,1401864966000.0,639.06
