,BTC-USD-Daily
0,0.0034667853852273995
1,0.003808887156806046
2,0.0034667853852273995
3,0.0025267760128716565
4,0.0018297308116220707
5,0.0011917572375970261
6,0.0022314178767489506
7,0.002515989020074132
8,0.0025950936339226476
9,0.001982289709758495
10,0.002302817495742092
11,0.0023213094833949913
12,0.0026182086184887727
13,0.0023218231497186834
14,0.0024093005246433727
15,0.002536022006698107
16,0.0023983594319487407
17,0.0023806893104137477
18,0.002449726064317907
19,0.0028401124703235706
20,0.0028801784435715204
21,0.002706610592796108
22,0.002813401821491604
23,0.0028298391438497375
24,0.0028349758070866536
25,0.0029761313128371224
26,0.0032818655086983995
27,0.0032340945405950764
28,0.0034308287425689823
29,0.0031424051018161146
30,0.0031523702284957326
31,0.003303953160617141
32,0.0030610403561433554
33,0.0030907816362851018
34,0.0031477985982148763
35,0.002747652532059071
36,0.002740461203527388
37,0.0027481148317503937
38,0.0027689183178599064
39,0.002629509277609989
40,0.002171832583200718
41,0.002085074341129197
42,0.0016406861945138284
43,0.0019612293904871358
44,0.0021107062906814108
45,0.0020850229744968276
46,0.0017957774676260517
47,0.0015713052841727958
48,0.0016530295962721387
49,0.0016751172481908804
50,0.0017562765273341626
51,0.001989994704613869
52,0.0020593396583122444
53,0.002213953221743434
54,0.0021166134534038646
55,0.0020259513472722854
56,0.0020644763215491605
57,0.0017790319454737032
58,0.0018431375026704234
59,0.0018276761463273039
60,0.001636078607590314
61,0.001310984327989098
62,0.001416671174088657
63,0.0015253321482023912
64,0.0011136285897635238
65,0.0011808161449023942
66,0.000564570656369506
67,0.0005481333340113734
68,0.0
69,1.4079593932388688e-05
70,0.0004978967675543285
71,0.00044085412230836923
72,0.0004721107181050073
73,0.0009215687513352113
74,0.001335275608436477
75,0.0010403386786991984
76,0.001426502747524116
77,0.001345343468380833
78,0.0015149047218314506
79,0.0016011287509263335
80,0.0015405366713836643
81,0.0010775640771771323
82,0.0012206252849884976
83,0.001102892963598369
84,0.001158738766310126
85,0.0012273234938494368
86,0.0013751669351343716
87,0.001372310950374646
88,0.0014968698972066367
89,0.0013520211305888246
90,0.0013456003015426786
91,0.0015803920414389008
92,0.0017305932111495795
93,0.002184674241293009
94,0.0019735573822557365
95,0.0017362435407101886
96,0.001843599802361746
97,0.0019031850959099787
98,0.0019905083709375613
99,0.001953575762264131
100,0.002000268031087702
101,0.0019222934831513092
102,0.0018568523935129904
103,0.0018431888693027929
104,0.0018322991432405296
105,0.0018795564450201623
106,0.002007459359619386
107,0.0021954612340905344
108,0.0022545842279474452
109,0.0020978646325891187
110,0.002115842953918327
111,0.0022786751785285834
112,0.002571927282724153
113,0.0026911492364529886
114,0.0026808759099791555
115,0.002778472511480571
116,0.0027414885361747715
117,0.002629509277609989
118,0.0027065592261637387
119,0.002773335848243654
120,0.0027990191644282373
121,0.003007567691847053
122,0.0028092924909020713
123,0.0027671718523593547
124,0.0033573744582810743
125,0.0035582179908445156
126,0.003536130338925773
127,0.0034667853852273995
128,0.003525857012451939
129,0.0030548249936266855
130,0.002978288711396628
131,0.0027414885361747715
132,0.00285860445797647
133,0.002724537547492946
134,0.003053283994655611
135,0.0028575771253290874
136,0.0034262057456557566
137,0.003518665683920257
138,0.003329122810478033
139,0.0031236562810013687
140,0.00322279388147386
141,0.003018354684644577
142,0.0032320398753003087
143,0.003248477197658443
144,0.003181700575578526
145,0.0030645846537768274
146,0.00305636599259776
147,0.0031118419555564592
148,0.0030091086908181275
149,0.003134956940122585
150,0.003139066270712117
151,0.0032037882274972675
152,0.003435451739482207
153,0.0036311586088087306
154,0.003424664746684682
155,0.003399495096823792
156,0.0032772425117851764
157,0.00276254885544613
158,0.002985480039928311
159,0.003146771265567493
160,0.003131874942180435
161,0.003166804252191468
162,0.0029947260337547608
163,0.0030594479905399104
164,0.003250531862953209
165,0.0032037882274972675
166,0.003355833459309999
167,0.0034282604109505243
168,0.0037097495563335548
169,0.0036892029033858886
170,0.004312280154023874
171,0.003920352749047136
172,0.004043119000409445
173,0.004899914428327137
174,0.005410498754076649
175,0.0056699002475409386
176,0.006414716416893849
177,0.0065338870039903145
178,0.006295032163473693
179,0.006053095325014918
180,0.006033062338390943
181,0.005879989773930829
182,0.006574466643561957
183,0.006790720165836146
184,0.00690937708660892
185,0.006855442122621296
186,0.006981804038249444
187,0.007155936921980918
188,0.007048066994005669
189,0.007636728600956314
190,0.008353293122506183
191,0.009708858550728481
192,0.011629456935011603
193,0.012944442723662259
194,0.014666252240676712
195,0.012736407862567137
196,0.013591662291513755
197,0.015075644300658969
198,0.015776798832498086
199,0.017501176681130996
200,0.018501285013358664
201,0.01918394755754488
202,0.020590365951812656
203,0.02520463053753486
204,0.03117446055147936
205,0.02130590314071514
206,0.028384225081186248
207,0.0340735932823951
208,0.03806786261542147
209,0.03642669871122661
210,0.037178192542787515
211,0.04320914884925132
212,0.04705034561781757
213,0.04948615132476344
214,0.055544331946382905
215,0.0541949305140449
216,0.04777256046892805
217,0.049457386010636706
218,0.05184490708315554
219,0.05441323870161385
220,0.04803298929503972
221,0.035828791110449516
222,0.032188951540770394
223,0.03955287195721407
224,0.04386561441092926
225,0.04571686784151402
226,0.0403269671070174
227,0.0430627539469992
228,0.042378550403841905
229,0.04018622253432588
230,0.041150887890218826
231,0.03088680741021203
232,0.029599559603040716
233,0.02528989914726767
234,0.033086840274583425
235,0.02930420146691801
236,0.027834602114836172
237,0.029655549232323112
238,0.031005464330984795
239,0.030147641570419725
240,0.032160699892967354
241,0.03434018610439108
242,0.03400424832869672
243,0.03347465834897063
244,0.03518413987421647
245,0.03492473838075219
246,0.036021929648157584
247,0.03612825857716175
248,0.03771805584898745
249,0.03811871558146694
250,0.04090227338955207
251,0.0466419808904827
252,0.0437279518361799
253,0.04056633561385772
254,0.03971519051550063
255,0.03946503501586279
256,0.04315880954952953
257,0.04087042607748318
258,0.039413668383493625
259,0.03948712266778153
260,0.04085398875512505
261,0.0403331311029017
262,0.03886044975287771
263,0.039578041607074954
264,0.0393412414318531
265,0.040972645675897826
266,0.04106305094886756
267,0.03998743366705721
268,0.039074134943533435
269,0.03773603417031666
270,0.04019649586079972
271,0.042258866150421744
272,0.037781750473125215
273,0.0383246957772673
274,0.038912843717894254
275,0.03861132158588725
276,0.038795727796092555
277,0.03977015281213564
278,0.03912961090649214
279,0.0385959115961765
280,0.03921128385195911
281,0.03871405485062558
282,0.0367477401635339
283,0.03380494579510436
284,0.03182219378565455
285,0.03208313627808991
286,0.03084776876961146
287,0.029298037471033715
288,0.030115280592027154
289,0.02545529970349639
290,0.02962575658554899
291,0.0303402664418041
292,0.028170026224206824
293,0.029476279685354722
294,0.028637462578766242
295,0.028632839581853014
296,0.02473051652076745
297,0.025667443895181045
298,0.02804160964328391
299,0.02623453151653664
300,0.022096435612876608
301,0.025463004698351763
302,0.02638554941570199
303,0.025863150764507566
304,0.025190247880471493
305,0.025335101783752537
306,0.025977184688367117
307,0.03052672731730417
308,0.030609941261742223
309,0.03054727397025184
310,0.030172811220280617
311,0.028463843361358456
312,0.028486958345924577
313,0.029350945102373956
314,0.028912274061941277
315,0.029168593557463412
316,0.029383306080766534
317,0.02904582730610111
318,0.028972886688136894
319,0.02910746726494411
320,0.028482849015335047
321,0.028209424431233972
322,0.02820870529838081
323,0.02752707008684197
324,0.02736711439364439
325,0.025573802524372056
326,0.025642376978584888
327,0.02508772008226264
328,0.025952066405138592
329,0.02653769738077946
330,0.023344850245976826
331,0.02175258737579741
332,0.02145871887201341
333,0.02099287488305744
334,0.020073874463340687
335,0.021247242446549554
336,0.01845988350766912
337,0.018958088475017662
338,0.019735419722660248
339,0.020371646831184743
340,0.019917514434408944
341,0.019795672782429285
342,0.019871849498232754
343,0.018488854288325328
344,0.016133026427978255
345,0.01902137216609647
346,0.018343949018411906
347,0.017549461315558013
348,0.019907857507523545
349,0.023003621707148453
350,0.023202872874108448
351,0.021883572288338784
352,0.020754944641923463
353,0.02243843465119052
354,0.022601215509168403
355,0.022132751821961606
356,0.0217366123531306
357,0.02160460010794184
358,0.019955833942156342
359,0.01971697910163972
360,0.01993210255800179
361,0.018383449958703793
362,0.01950026327967421
363,0.019441499852243884
364,0.019671005965669314
365,0.019401998911951993
366,0.01916735613528964
367,0.018785804790051475
368,0.018603555978405673
369,0.018652097445994536
370,0.019129036627542246
371,0.01919596734951927
372,0.019650818879148237
373,0.019697202948177592
374,0.018779229861108224
375,0.01918405029080962
376,0.019110647373154082
377,0.01934256771830087
378,0.019539866953230837
379,0.019555841975897645
380,0.019524611063417192
381,0.01948403142384555
382,0.019378113427900332
383,0.021342476182961985
384,0.02179573534698751
385,0.023037215484717887
386,0.023391542514800395
387,0.025041798312924603
388,0.026660206798979923
389,0.02655572706874104
390,0.026084386850121564
391,0.025624809590314636
392,0.025761290732519513
393,0.0282140474281472
394,0.029823518120170287
395,0.02852697295254016
396,0.03027220565391495
397,0.02934324010751858
398,0.02969962180289586
399,0.030278883316122943
400,0.030047219804138003
401,0.03029198180737708
402,0.029768196257108696
403,0.03031581592479637
404,0.02991371792661054
405,0.029218110991067293
406,0.02789983773794501
407,0.026557165334447377
408,0.02525312063849135
409,0.027322476790115582
410,0.027155175668489212
411,0.02797380568855661
412,0.02785478920135726
413,0.026794376442728182
414,0.026913855229618863
415,0.02757011532476733
416,0.027011760030914492
417,0.027042374543806515
418,0.02587655745555592
