,BTC-USD-Daily
0,0.592210578947663
1,0.5767440859413071
2,0.6088276845190883
3,0.6449230170849015
4,0.5969157624726787
5,0.56289564185458
6,0.5552420136315742
7,0.5972856022257368
8,0.5925290520683519
9,0.567944981816469
10,0.5905206167427175
11,0.5891594009849346
12,0.5654382901568537
13,0.5102345703497108
14,0.5131676050579901
15,0.4475277265524037
16,0.4206167478541975
17,0.46793414859370236
18,0.4148472477064928
19,0.31768366691594896
20,0.37594318768273366
21,0.4166923371411932
22,0.4076435911830409
23,0.45408210884270933
24,0.4152520167695618
25,0.43388937199206634
26,0.4429180849635947
27,0.4514572739286449
28,0.4979358575615613
29,0.5149037972320679
30,0.5393491775765541
31,0.560984803130447
32,0.5445680274252614
33,0.5924365921300874
34,0.5617296192997998
35,0.5566443226952524
36,0.5105530434703995
37,0.5371147290684953
38,0.49806889713939745
39,0.49375461368671114
40,0.52974361732352
41,0.560553323418546
42,0.535162797038467
43,0.5639281111652001
44,0.5815468660678241
45,0.573985697783083
46,0.5894213708100174
47,0.5791583176626579
48,0.5409415431799982
49,0.5009690572029606
50,0.45153637854249346
51,0.48398878954068525
52,0.4530758365145973
53,0.49266050441724796
54,0.4796102977975375
55,0.4689173059372482
56,0.40231122107679773
57,0.4198164557218859
58,0.41932950004702624
59,0.3955852742343791
60,0.42397561194481725
61,0.4364674632706748
62,0.4643605719797795
63,0.4613504873229463
64,0.42878712439883704
65,0.4551012228289136
66,0.4366359458248457
67,0.4326514361519695
68,0.40828053742441855
69,0.40347262063466455
70,0.38860608989438045
71,0.3642434098280086
72,0.35299257634019016
73,0.3518548054332131
74,0.3542243481844028
75,0.3748922263844605
76,0.37551889929936433
77,0.34846049836625864
78,0.34041956573518933
79,0.3494462240414229
80,0.3540692209546479
81,0.36202899430657387
82,0.3435483073127953
83,0.34774290651206136
84,0.3531800645483376
85,0.39772674913784967
86,0.4072994347461675
87,0.4121258435235743
88,0.4103608860353698
89,0.40866321883556883
90,0.40476808710301493
91,0.4178835293458342
92,0.42259076753614455
93,0.4542197714174587
94,0.4520916518384041
95,0.4518533106642112
96,0.4713423246513966
97,0.4823476256364904
98,0.4547154594198211
99,0.47152621719527815
100,0.46785966697676706
101,0.4820630544931652
102,0.47440737160486474
103,0.45802655254233765
104,0.46457990749999584
105,0.4697735876988422
106,0.49088886926683534
107,0.5005257631656146
108,0.49268413306813774
109,0.47814275311075044
110,0.4779670792280479
111,0.46337227797299674
112,0.4753982339432659
113,0.4589747805758724
114,0.4204354236419343
115,0.4304175013102344
116,0.4291590188171898
117,0.4470947058415316
118,0.42015804382714084
119,0.42681721404747963
120,0.4102134638004703
121,0.42049860459974847
122,0.4217026384624816
123,0.43316202047771896
124,0.4258330293712863
125,0.40613598052300587
126,0.39228034510774695
127,0.3887791954454646
128,0.37960408757168407
129,0.3728308834274858
130,0.3680352946295005
131,0.3628708934111045
132,0.38418290918107156
133,0.3843344407465606
134,0.38466524185901807
135,0.3818518914041588
136,0.3897849541072529
137,0.38804773460052766
138,0.3785012459747181
139,0.38886086839093154
140,0.39261371455182287
141,0.38960671189293183
142,0.3907953357659544
143,0.3734385506884131
144,0.3447102205369858
145,0.34980219480374125
146,0.33557723330174805
147,0.33141653607984556
148,0.33633540479551693
149,0.3311874408994791
150,0.3336217056074539
151,0.32980259649080634
152,0.3413282414617999
153,0.3385190003375302
154,0.34444825071190305
155,0.338577558298431
156,0.30876744686930907
157,0.29924715522600787
158,0.31350653237168835
159,0.3171016829712063
160,0.30934737614875696
161,0.3107728001970013
162,0.29988666979900397
163,0.32681049015530245
164,0.32409935929885786
165,0.32224656486930203
166,0.33852721899870925
167,0.33026592351477624
168,0.33991514540532414
169,0.3334342173993064
170,0.33757950463149816
171,0.34773211951926386
172,0.34417960322461233
173,0.3399485337163641
174,0.3236560652615119
175,0.31652124002543475
176,0.3179030024361653
177,0.3164914473786606
178,0.3198256554857432
179,0.32440499076145435
180,0.34005075331477874
181,0.3785885692497457
182,0.37381198610573696
183,0.37549167498420866
184,0.3737760294630785
185,0.37653441762130274
186,0.3907429418009378
187,0.40716177217141813
188,0.4224669739521349
189,0.4167858244121051
